title,description,time_to_paste,location,price,link
ЦЕНТРЦИРК ,ЦЕНТР СРОЧНО РАЙОН ЦИРКА  ВЫСОКИЕ ПОТОЛКИ  3 ком 1...,16 sag öň,Ашхабад,,https://tmcars.info/others/4247229757/tsentrtsirk
3-ком 1-этаж 83 м² Центр ,Продаётся️Центр Шевченко Мечеть  Дом Болгарского типа  ️️️ Большая...,16 sag öň,Ашхабад,,https://tmcars.info/others/4247173425/3-kom-1-etaj-83-m-tsentr
Элитка-Советская5эт3ком ,"По улице Советской, элитная 3-комнатная недвижимость, на 5-этаже, в оч...",28.02.2026,ул. Советская (Гарашсызлык шаёлы),90.000 TMT,https://tmcars.info/others/4241325896/elitka-sovetskaya5et3kom
Гаудан В (W) 1 Комнт ,Gaudan W (В) Miryñ Ugry 4 Etajny Dom 3 Etaj 1 Komnat 2 Edilen Mebel Te...,3 gün öň,Ашхабад,45.500 TMT,https://tmcars.info/others/4244416108/gaudan-v-w-1-komnt
10-njy mkr. 2 kom gowdan plan. ,10-njy mkr. Aýtakow köçä golaý. Gowdan plan.4 etaźly domynñ 3-nji etaź...,25.02.2026,10 мкр,,https://tmcars.info/others/4236150672/10-njy-mkr-2-kom-gowdan-plan
10-njy mkr. 3 kom. gowdan plan ,10-njy mkr. Daşoguz bazaryñ arkasy. 4 etaźly domyñ 3-nji etaźy 3 komna...,25.02.2026,Ашхабад,,https://tmcars.info/others/4235342873/10-njy-mkr-3-kom-gowdan-plan
10-njy mkr. 2 kom. ,10-njy mkr 27-nji mekdebe golaý. 4 etaźly domyñ 4-nji etaźy 2 komnat. ...,düýn,Ашхабад,,https://tmcars.info/others/4246397300/10-njy-mkr-2-kom
Мир 5  2 комн  ,Продаётся МИР 5 район Оптового базара  ️2 комнаты  ️5 этаж в 9 этажн...,2 gün öň,Мир 5,61.500 TMT,https://tmcars.info/others/4244885593/mir-5-2-komn
14 tapgyr elitka 3 kom ,Продаётся элитная квартира 14 Этап ! 3 ком. 11 этаж Дом от телекечи ! ...,düýn,Ашхабад,,https://tmcars.info/others/4246210349/14-tapgyr-elitka-3-kom
Гаудан В 3 комн аркач ,Продается квартира в р-не Гаудан В  АРКАЧ.   3 комн + столовая.    4...,düýn,Ашхабад,62.000 TMT,https://tmcars.info/others/4245998544/gaudan-v-3-komn-arkac
Мир 2/2 ,3 ком 9 этаж Напротив 5 ножки по Московского  Прописка пустая. Квадрат...,01.03.2026,Мир 2,59.000 TMT,https://tmcars.info/others/4227095867/mir-2-2
